Comment,clean_comment,word_count,sentiment_score,sentiment_label
" @kingki1953  We'll see.. sampai sekarang masih belum ada pemikiran adanya urgensi untuk segera pindah ke ""metaverse"", kalau augmented reality masih ada real use case nya lah karena masih di dunia nyata, tapi pindah ke virtual world? Hmm i'm a bit skeptical ",we ll see sekarang pikir ada urgensi segera pindah metaverse augmented reality real use case nya masih dunia nyata pindah virtual world hmm i m a bit skeptical,28,0,Netral
Jadi tantangan serius bagi periset untuk Mengembangkan riset murni tanpa bantuan AI,tantang serius riset kembang riset murni bantu artificial intelligence,9,1,Positif
kedepan ujian di pc tapi offline jadinya ya gak bisa contek,depan uji pc offline jadi contek,6,0,Netral
 @imamupayanto    itu terlalu jauh.  Dunia kita yg real ya tetep yang utama. Memangnya MENANAM PADI itu di dunia online???   Manusia butuh makan yg hanya tersedia melalu dunia nyata,terlalu jauh dunia real tetep utama memang tanam padi dunia online manusia butuh makan sedia lalu dunia nyata,18,0,Netral
Yang takutnya CHAT GPT ini bisa bikin skripsi kita dalam hitungan detik saja tanpa plagiarisme wkwk,takut chat gpt bikin skripsi hitung detik plagiarisme wkwk,9,-1,Negatif
 @imamupayanto  waduh wajib koleksi token kripto yg ada hubungannya dengan ini nih,waduh wajib koleksi token kripto hubung,6,0,Netral
" @naulirisetya1705  thn 40an ditemukan cikal bakal komputer, 
90an kemajuan komputer, 
2000an merebak internet (eksklusif krn mahal) & Handphone, 
2010 mulai internet masuk setiap rumah krn murah& semua org punya HP, ",thn an temu cikal bakal komputer an maju komputer an rebak internet eksklusif mahal handphone mulai internet masuk rumah murah semua org punya hp,24,1,Positif
" @azmihakam  bukannya malah kebalik bro? 
Faktanya malah pelajaran seperti PPKN sdh dihapuskan, pendidika. agama wkt itu sempt mau dikurangi lg jam pelajarannya, pelajaran ttg budaya ga tau sih aku....

Malh menurutku mendikbud mengejar ‘kemajuan’ tp meninggalkan ‘dasar’..",bukan malah balik fakta malah ajar ppkn hapus pendidika agama wkt sempt rang lg jam ajar ajar ttg budaya tau malh turut mendikbud kejar maju tinggal dasar,27,1,Positif
 @alindy5981  serius ppkn di hapus. Makin enak aja pejabat dia ngibul aja rakyatnya percaya.,serius ppkn hapus makin enak jabat ngibul rakyat percaya,9,1,Positif
 @naulirisetya1705  benar karena kembali ke esensi hidup manusia itu tidak lepas dari aktivitas fisik manusia itu sendiri. Secara mudahnya kaitan manusia dengan alam (dunia nyata),benar esensi hidup manusia lepas aktivitas fisik manusia sendiri mudah kait manusia alam dunia nyata,15,1,Positif
ini ibarat www di tahun 1995-2000 ya?l,ibarat www tahun l,4,0,Netral
Sebelum ada gpt pun sistem pendidikan konvensional saat in ud ga relevan dgn zaman,gpt sistem didik konvensional in ud relevan zaman,8,0,Netral
"saya menyambut baik adanya perubahan, di mana kita di paksa bersaing lebih pintar lagi seperti yang anda katakan ""melek teknologi"" dosen maupun mahasiswa. sekali lagi saya berterima kasih kepada samuel H. Altman selaku CEO dari OpenAI yang telah memudahkan dan membuat jadi lebih produktif lagi aktifitas belajar dengan chatGPT",sambut baik ada ubah mana paksa saing lebih pintar anda kata melek teknologi dosen maupun mahasiswa sekali terima kasih samuel h altman selaku ceo openai mudah buat lebih produktif aktifitas ajar chatgpt,32,3,Positif
"bener banget, saya kelas 10 seminggu lalu ditugaskan bikin proposal buat projek, pas saya coba tinggal copas copas aja.. semalem doang jadi dah tu proposal. guru saya juga bingung knp bisa cepet gitu, alhasil saya bilang sesuai kenyataan, saya bilang saya buatnya pake ai di chat gpt. disitu saya ngira guru saya bakal nerima"" aja, ternyata malah ngomel"" dan ngelarang saya buat make 'dukun' itu, yaaa guru saya bilang dukun karna dia umur 50an. disini saya jadi mikir, teknologi ini bagus apa ngga karna kalo dibilang positif juga ai ini bisa nyelesain tugas dengan cepat, negatifnya saya gabisa berlatih menyusun kata kata lagi kalo dalam kasus bikin proposal spt di atas",bener kelas minggu lalu tugas bikin proposal buat projek pas coba tinggal copas copas semalem doang dah tu proposal guru bingung knp cepet gitu alhasil bilang sesuai nyata bilang buat pake artificial intelligence chat gpt situ ngira guru bakal nerima nyata malah ngomel ngelarang buat make dukun yaaa guru bilang dukun karna umur an sini mikir teknologi bagus ngga karna bilang positif artificial intelligence nyelesain tugas cepat negatif gabisa latih susun kata kata kasus bikin proposal atas,77,1,Positif
 @ridhohen1009  yang akan tergantikan adalah guru yang hanya dilevel sekedar menyampaikan informasi. Yang dimana saya rasa banyak (CMIIW sy ga punya field insight dan ga punya data). Guru guru ini akan dipaksa untuk naik level atau tergantikan.,ganti guru level dar sampai informasi mana rasa banyak cmiiw punya field insight punya data guru guru paksa naik level ganti,21,-2,Negatif
 @biman1422  nah ini makanya role guru bisa lebih seperti pelatih bukan hanya penyampai informasi. Tugas guru jadi lebih esensial. Dia harus mengarahkan muridnya untuk paham metode. Dalam kasus ini ya pointnya memang untuk latihan. Ibaratnya kalaupun dimasa depan menggunakan alat bantu kemampuan dasarnya udah punya.,makanya role guru lebih latih sampai informasi tugas guru lebih esensial arah murid paham metode kasus point memang latih ibarat kalaupun masa depan guna alat bantu mampu dasar udah punya,30,3,Positif
" @imamupayanto  sorry bro,selama pembangunan pendidikan merata,pendidikan konvensional adalah yang terbaik,kenapa demikian?

Sampai sekarang,bahkan siswa masih belum bisa untuk menjalankan kegiatan yang sifatnya HOTS,dikelas saya aja hanya kisaran 10% yang otakny bener2 dipakek",sorry lama bangun didik rata didik konvensional baik demikian sekarang bahkan siswa jalan giat sifat hots kelas kisar otakny bener dipakek,21,0,Netral
" @imamupayanto  menurut saya chat gpt ai itu overrated dan overhyped.
mereka tidak bisa menyamai kemampuan otak manusia dalam berinovasi.",chat gpt artificial intelligence overrated overhyped sama mampu otak manusia inovasi,11,1,Positif
" @lifeisneverthesame910  kalo oponi gw bro,kalo salah bisa koreksi

Hal simpel aja,baby boomers,gw pernah cerita ama mereka,tapi seringny ga didenger opini gw,udah jalan lama,tapi baru didenger",oponi salah koreksi simpel baby boomers cerita ama seringny didenger opini udah jalan lama baru didenger,16,-1,Negatif
 @entertainmentnncrawler2087  cara mudah untuk berpikir adalah dg mengajukan pertanyaan. selalu punya rasa ingin tahu.,cara mudah pikir aju tanya selalu punya rasa tahu,9,1,Positif
" @naulirisetya1705  konsepnya egak gitu bos
Beda konsep ini mah 
Kalau nanam padi ya tetap lah
Ini kan basisnya teknologi",konsep egak gitu bos beda konsep nanam padi tetap basis teknologi,11,0,Netral
 @imamupayanto  bener konsep ini di teknologi dan pendidikan,bener konsep teknologi didik,4,0,Netral
Kayak JARVIS nya TONY STARK,kayak jarvis nya tony stark,5,0,Netral
Begitu chat gpt masuk data base scopus dan web of science maka penelitian metode literature review menjadi otomatis,chat gpt masuk data base scopus web of science teliti metode literature review jadi otomatis,15,0,Netral
"INI KOMENTAR BY CHATGPT:
Saya setuju bahwa ChatGPT memiliki dampak yang luar biasa pada dunia pendidikan dan dapat memaksa pengembangan pendidikan ke arah yang tidak pernah kita pikirkan sebelumnya. Sebagai mesin kecerdasan buatan yang mampu memahami pertanyaan dan menghasilkan tanggapan, ChatGPT dapat membantu mahasiswa dalam belajar dan mengembangkan kemampuan berpikir kritis dan kreatif.",komentar by chatgpt tuju chatgpt milik dampak luar biasa dunia didik paksa kembang didik arah pikir belum mesin cerdas buat mampu paham tanya hasil tanggap chatgpt bantu mahasiswa ajar kembang mampu pikir kritis kreatif,34,3,Positif
 @imamupayanto  sayang nya para guru malah tidak mampu mengikuti perkembangan Jaman,sayang nya guru malah mampu ikut kembang jaman,8,0,Netral
 @naulirisetya1705  pil karbohidrat dan protein tinggi mulai beredar,pil karbohidrat protein tinggi mulai edar,6,0,Netral
 @entertainmentnncrawler2087  yg boomer tidak mau belajar gimana mau paham,boomer ajar gimana paham,4,1,Positif
 @lerenggunung753  bagaimana mereka tidak ketinggalan zaman fasilitasnya juga terbatas. Masalah kesejahteraan juga menjadi salah satu penyebab banyak guru kita yang tidak fokus mendidik dan mengembangkan metode pengajaran dan pendidikannya karena uang gaji yang bahkan di bawah UMR.,bagaimana tinggal zaman fasilitas batas masalah sejahtera jadi salah satu sebab banyak guru fokus didik kembang metode ajar didik uang gaji bahkan bawah umr,24,-1,Negatif
 @ufcfantasy4929  kau pikir semua orang Muslim?,kau pikir semua orang muslim,5,0,Netral
pendidikan konvensional akan terus relevan untuk para Normie Neurotypical yang haus akan pERhatian,didik konvensional relevan para normie neurotypical haus perhati,8,0,Netral
 @imamupayanto  industri Pangan gimana ..itu Traktor . Alat tanam padi ..panen Padi dll..di susupi Chip ke dalam kerja seperti Robot OTOMATIS...gimana,industri pangan gimana traktor alat tanam padi panen padi susup chip kerja robot otomatis gimana,15,0,Netral
 @piplupempoleon4225  gap boomer dengan era sekarang . Udah kejauhan. Kita mungkin besok 10-30 taun Lagi juga bakal jauh ketinggalan dari bocil2,gap boomer era sekarang udah jauh mungkin besok taun bakal jauh tinggal bocil,13,0,Netral
 @imamupayanto Contohnya teknologi Metaverse yg memungkin setiap orang mampu memiliki harta di dunia maya & semua kembali kepada manusia yg memiliki harta/uang banyak di dunia nyata yg mampu melakukan hal tsb.,contoh teknologi metaverse mungkin orang mampu milik harta dunia maya semua manusia milik harta uang banyak dunia nyata mampu laku,20,0,Netral
"Menjelajahi Era AI: Pidato Inspiratif dari Robot AI Chat GPT - Artificial Intelligence



https://www.youtube.com/watch?v=dWsIA2aOstA video dari sudut pandang robot

Semoga bisa jadi Insight menarik.",jajah era artificial intelligence pidato inspiratif robot artificial intelligence chat gpt artificial intelligence video sudut pandang robot moga insight tarik,20,0,Netral
"Jujur saja sebagai developer web, kehadiran ChatGPT sangat-sangat membantu sekali. Ga perlu ribet tanya terus scroll"" ke bawah untuk nyari jawaban di forum"". Cukup tanya saja permasalahannya secara detail dengan bahasa pemorgraman yang digunakan, ChatGPT langsung jawab ke pointnya. Tapi tetap menurut saya untuk review mungkin pengalaman manusia tetap dibutuhkan.",jujur developer web hadir chatgpt sangat sangat bantu sekali ribet tanya scroll bawah nyari jawab forum cukup tanya masalah detail bahasa pemorgraman guna chatgpt langsung jawab point tetap review mungkin alam manusia tetap butuh,34,1,Positif
Ya kdepanny bkin aplikasi jd mudah dan tdk prlu bnyk org. AI Bisa jd bkin ongkos programmer jd murah. ,kdepanny bkin aplikasi mudah prlu bnyk org artificial intelligence bkin ongkos programmer murah,13,1,Positif
 @WillyReceh  oh ok bg gua kira harus pake bahasa pemograman yg ribet atau kaya 01101 gitu,ok bg gua kira pake bahasa pemograman ribet kaya gitu,10,-1,Negatif
" @WillyReceh  boleh bagi Gk bang? Pengalaman programmer.

Soalnya saya masih belajar nih",alam programmer soal masih ajar,5,0,Netral
"Tentunya chatGPT gak akan jawab:
1. Udah search pojok kanan atas belum?
2. Sudah coba googling dan stakeover belum
3. Kalau sudah copas codingan lu",tentu chatgpt jawab udah search pojok kanan atas coba googling stakeover copas codingan,13,0,Netral
"Bang, menurut lu pasar untuk programmer junior gmna kedepan nya

Gw rasa kayanya akan menghilang, dan meskipun ada pasti gaji akan sangat jauh",pasar programmer junior gmna depan nya rasa kaya hilang pasti gaji sangat jauh,13,-1,Negatif
" @Indonesia1persen  jngan mudah pusing bang, klo stuck ada error. Mayan tuh klo error atau algoritmanya ga sesuai hrus nyari"" thread atau nanya di forum. Trs bisa baca algoritmanya, bsa disisipin atau kaga dngan kodingan kita yg sdng msalah. Intinya paham dlu logika & algoritma, mu nnti bahasa pemrograman yg dipkenya apa, ga trlalu susah buat nyernanya. Krna yg susah itu nerapin alur bisnis manusia ke komputer (algorithm)",jngan mudah pusing klo stuck error mayan klo error algoritmanya sesuai hrus nyari thread nanya forum trs baca algoritmanya bsa disisipin kaga dngan kodingan sdng msalah inti paham dlu logika algoritma mu nnti bahasa pemrograman dipkenya trlalu susah buat nyernanya krna susah nerapin alur bisnis manusia komputer algorithm,48,-1,Negatif
"baru coba"" kemarin dan hasilnya emang agak ngeri, sebagai akademisi saya bisa berdiskusi mulai dari membandingkan berbagai teknis analisa statistik dan menentukan metoda mana yg cocok dengan riset kita, hingga mengimprove gaya penulisan. tapi satu hal yg perlu di ingat dalam konteks penelitian jgn lupa utk selalu meng cross-check dengan jurnal ilmiah.",baru coba kemarin hasil emang ngeri akademisi diskus mulai banding bagai teknis analisa statistik tentu metoda mana cocok riset hingga mengimprove gaya tulis satu ingat konteks teliti lupa selalu meng cross check jurnal ilmiah,34,-1,Negatif
Apa bisa sampai ke ide penelitian (research novelty) mas?,ide teliti research novelty,4,0,Netral
 @DymasJuhara  buat akun dulu jangan lupa bang,buat akun dulu lupa,4,0,Netral
 @DymasJuhara  lho astaga kok dia ga muncul yaa,lho astaga muncul yaa,4,0,Netral
 @itsvan5791  yg blg seorang akademisi...jdi seenggaknya tau berapa persen batasannya...klo udh S2 - S3 dikampus2 papan atas itu rata2 udh wajib turnitin...,blg orang akademisi jdi enggak tau berapa persen batas klo s s kampus papan atas rata wajib turnitin,18,0,Netral
 @itsvan5791  oke thanks buat info nya bro...,oke thanks buat info nya,5,1,Positif
" @itsvan5791  betul, sekali lagi seperti yang saya sampaikan harus dicross check dengan jurnal terbaru, karena chat GPT sendiri sudah menyatakan bahwa dia tidak dapat memberikan darimana data/argumen dia ambil, sehingga harus selalu di cross check. Yang perlu di ingat adalah alasan dosen/guru atau kita sebagai seorang peneliti melakukan riset adalah untuk memperkaya ilmu pengetahuan, kalau tugas"" tsb anda serahkan ke sistem AI ya anda lulus tp lulus kosong, riset juga jadi tidak reliable dan anda tidak mendapatkan ilmu apapun",betul sekali sampai dicross check jurnal baru chat gpt sendiri nyata beri darimana data argumen ambil selalu cross check ingat alas dosen guru orang teliti laku riset kaya ilmu tahu tugas serah sistem artificial intelligence lulus lulus kosong riset reliable anda dapat ilmu apa,44,0,Netral
 @itsvan5791  soalnya dosen dan profesornya saja melakukan itu.,soal dosen profesor laku,4,0,Netral
" @linus4108  bahkan dosen menggunakan blog internet untuk dijadikan buku padahal seorang professor.

Dosen juga banyak yg sampah, gelar professor sekaligus ga jamin orang itu berkualitas,",bahkan dosen guna blog internet jadi buku padahal orang professor dosen banyak sampah gelar professor sekaligus jamin orang kualitas,19,0,Netral
mungkin saja chatGPT akan keren/lebih gila jika ada mode untuk pro research/khusus penelitian ahli (sumber terpercaya) agar mengurangi-menghilangkan sumber abal2.,mungkin chatgpt keren lebih gila mode pro research khusus teliti ahli sumber percaya kurang hilang sumber abal,17,1,Positif
"Gk ada yang perlu dikhawatirkan, yang perlu kita lakukan adalah adaptasi. Dulu awal masuk revolusi industri 3.0 juga banyak yang khawatir karena potensi kehilangan pekerjaan akibat dari tenaga manusia yang diganti serba mesin, lanjut revolusi industri 4.0 yang apa2 serba digital, tapi nyatanya malah membuka peluang baru. Pepatah ""satu pintu tertutup, maka pintu lain terbuka"" masih akan tetap berlaku.",khawatir laku adaptasi dulu awal masuk revolusi industri banyak khawatir potensi hilang kerja akibat tenaga manusia ganti serba mesin lanjut revolusi industri serba digital nyata malah buka peluang baru pepatah satu pintu tutup pintu buka tetap laku,37,-2,Negatif
"Yang khawatir ya generasi2 tua dan generasi yang ogah beradaptasi.
Kayak tukang delman yang kegusur taksi kemudian kegeser taksi online...",khawatir generasi tua generasi ogah adaptasi kayak tukang delman gusur taksi kemudian geser taksi online,15,-1,Negatif
Yakin?? Sepertinya untuk yg sekarang ini lompatannya lbh jauh lagi. Yg terdisrupsi bukan lagi jenis pekerjaan level bawah lagi tapi lbh jauh lagi.. di negeri kita mungkin belum begitu terasa tp di negeri2 yg tenaga manusia berharga mahal dan ketidak pedulian sdh jd budaya maka hampir dipastikan banyak sekali jenis pekerjaan akan  digusur habis dlm waktu dekat. Saya dulu pernah kerja di Data center.. thn 2009/2010 itu kita jumlah pekerjanya 1 shift msh 3 orang untuk 1 engineer dan 2 teknisi. Sekarang?? Nyaris habis. Itu Data center nya gede dan berlantai 9 (waktu itu yg isi perangkat baru 3 lantai).. kalau pernah ke surabaya gedungnya ada di jalan rungkut raya samping pabrik sampoerna. Saya sekarang?? Jd birokrat ber NIP bagian teknologi. Dan memulai era digitalisasi disemua bidang pemerintahan. Mungkin kelak jadi saksi rekan2 yg tidak bisa adaptasi tergusur.. kiamat honorer tahun ini n lanjut kiamat ASN..,yakin seperti sekarang lompat lbh jauh disrupsi jenis kerja level bawah lbh jauh negeri mungkin begitu asa negeri tenaga manusia harga mahal tidak peduli budaya hampir pasti banyak sekali jenis kerja gusur habis waktu dekat dulu kerja data center thn jumlah kerja shift msh orang engineer teknisi sekarang nyaris habis data center nya gede lantai waktu isi perangkat baru lantai surabaya gedung jalan rungkut raya samping pabrik sampoerna sekarang birokrat ber nip bagi teknologi mulai era digitalisasi semua bidang perintah mungkin kelak saksi rekan adaptasi gusur kiamat honorer tahun lanjut kiamat asn,92,-3,Negatif
" @deppaykurniawan2016  kiamat ASN kayaknya enggak,
Banyak negara maju juga hati2 dengan ""isu perampingan pegawai pemerintahan""

Malah ada kemungkinan nambah honorer ato personil militer/keamanan buat akomodasi pengangguran.",kiamat asn kayak banyak negara maju hati isu ramping pegawai perintah malah mungkin nambah honorer ato personil militer aman buat akomodasi anggur,22,1,Positif
 @sn5301679  pertanyaanya negara ini sudah maju atau blm? Indonesia itu teknologi belakangan politik lah yg terdepan,pertanyaanya negara maju indonesia teknologi belakang politik depan,8,1,Positif
" @deppaykurniawan2016  memang sudah waktunya meng efisiensi jumlah pekerja dg adanya chatGPT

yang diinginkan para pekerja gajinya naik, mintanya UMR naik, dikasih jobdesk lain ngambek, sedangkan pendapatan usaha kelas menengah cukup sulit meningkat...",memang waktu meng efisiensi jumlah kerja ada chatgpt ingin kerja gaji naik minta umr naik kasih jobdesk ngambek dapat usaha kelas tengah cukup sulit tingkat,25,0,Netral
" @vivifitriasari  Khawatir itu amat sangat diperlukan, jika saat ini manusia belum ""tergantikan"" itu karena masih ada rasa kemanusiaan pada manusia. Ambil satu contoh pabrikasi motor honda, untuk berinvestasi robotic itu hanya perlu penjualan hasil kurang dari 1 hari produksi. Dan jika mereka menginginkannya sudah bisa dilakukan beberapa tahun lalu. Ada rasa kemanusian yang menjadi alasan mereka menunda penggunaan robot pada setiap lini perakitan motor.",khawatir amat sangat perlu manusia ganti rasa manusia manusia ambil satu contoh pabrikasi motor honda investasi robotic jual hasil kurang hari produksi ingin laku beberapa tahun lalu rasa kemanusian jadi alas tunda guna robot tiap lini rakit motor,38,-1,Negatif
Ultron malah menghibur padahal mengerikan,ultron malah hibur padahal keri,5,0,Netral
Semakin kedepan manusia semakin robotik terdengar tidak baik tapi apadaya manusia melaju pada kecerdasan majemuk sedangkan A.I melaju pada kercerdasan konstan'ta,makin depan manusia makin robotik dengar baik apadaya manusia laju cerdas majemuk a i laju kercerdasan konstan ta,18,1,Positif
"Mantap. Banyak informasi baru, terima kasih pak.



00:00 - Intro

01:20 - Apa itu ChatGPT?",mantap banyak informasi baru terima kasih intro chatgpt,8,1,Positif
"Sebagai seorang profesional, saya melihat ChatGPT bukan sebagai ancaman, justru dengan bantuan analisanya kita menjadi lebih kreatif. Bahkan berbagai ide cemerlang muncul ketika berdiskusi dengannya. Kuncinya adalah bagaimana kita melihat dan memperlakukan si ChatGPT ini, apakah menganggapnya hanya sebagai ""mesin"" tanya jawab? atau kita anggap dia sebagai teman diskusi yang siap ""membrainstorming"" otak kita? pilihan ada di tangan kita. 10 tahun kedepan akan sangat menarik ",orang profesional lihat chatgpt ancam justru bantu analisanya jadi lebih kreatif bahkan bagai ide cemerlang muncul diskus dengan kunci bagaimana lihat laku si chatgpt apakah anggap mesin tanya jawab anggap teman diskusi siap membrainstorming otak pilih tangan tahun depan sangat tarik,41,2,Positif
Chat gpt cuma demo doang. Ujung2nya bakalan berbayar layanan kek gini,chat gpt demo doang ujung bakal bayar layan kek gin,10,0,Netral
Gimana kalo para robot nanti pake AI terus ngambil pekerjaan manusia?,gimana robot pake artificial intelligence ngambil kerja manusia,8,0,Netral
 @jackbrown107  mending gw bayar langganan dari pada free kayak gini kadang lemot karna full capacity atau server down,mending bayar langgan free kayak gin kadang lot karna full capacity server down,13,0,Netral
 @jackbrown107  bro if something is free you are the product.,if something is free you are the product,8,0,Netral
 @jackbrown107  lah emang kenyataanya kayak gitu Facebook & Google gratis karena penggunanya yg jadi produk buat di jual datanya ke perusahaan perusahaan yg mau ngiklan biar mereka bisa dapet revenue.,emang kenyataanya kayak gitu facebook google gratis guna produk buat jual data usaha usaha ngiklan biar dapet revenue,18,1,Positif
"Wow sampai ""Mengijinkan"" Chat GPT ""Brainstorming"" kita apakah bukan diksi yang ""Menakutkan"", ketika kita sudah mulai menerima ""pengetahuan"" chatGPT sebagai kebenaran mutlak, akan muncul doktrin-doktrin sesat yang dijejalkan ke otak kita tanpa sadar dan dengan sukarela kita menerimanya",wow mengijinkan chat gpt brainstorming apakah diksi takut mulai terima tahu chatgpt benar mutlak muncul doktrin doktrin sesat jejal otak sadar sukarela terima,23,-1,Negatif
"Hmm,, poin yg menarik ini. Pak @ariefrantoni1293  boleh definisikan lbh lanjut apa itu doktrin2 sesat disini
 bserta indkator2nya ?",hmm poin tarik definisi lbh lanjut doktrin sesat sini bserta indkatornya,11,-1,Negatif
"Namun, teknologi ini bukan berarti hanya mengambil pekerjaan manusia namun juga di satu sisi akan menambah pekerjaan manusia yg tidak pernah kita pikirkan sebelumnya. Contohnya kehadiran seperti conten creator, SEO management dan lain sebagainya yg muncul akibat kehadiran dari teknologi"" baru  kemarin.",teknologi arti ambil kerja manusia satu sisi tambah kerja manusia pikir belum contoh hadir conten creator seo management lain bagai muncul akibat hadir teknologi baru kemarin,26,0,Netral
"Memang ngeri2 sedap dan akan sangat mendisrupsi semua sektor tidak hanya dunia pendidikan. Tapi dengan hadirnya chatGPT kita akan dituntut lebih aware dan lebih melek lagi dengan teknologi. 
Semangat terus semuanya.",memang ngeri sedap sangat disrupsi semua sektor dunia didik hadir chatgpt tuntut lebih aware lebih melek teknologi semangat semua,19,-1,Negatif
sektor konstruksi tidak bisa sepenuhnya digantikan oleh robot.,sektor konstruksi sepenuh ganti robot,5,-1,Negatif
 @lifeisneverthesame910  tapi tetap banyak tergantikan contoh cina bangun rumah sakit 2 hari pake robot doang tanpa kuli,tetap banyak ganti contoh cina bangun rumah sakit hari pake robot doang kuli,13,-1,Negatif
 @belajaringgris6485  waktu persiapan input apa nggak dihitung?,waktu siap input hitung,4,0,Netral
 @lifeisneverthesame910  ya dihitung tapi tetep aja banyak tergantikan,hitung tetep banyak ganti,4,-1,Negatif
"Hi Dr Indrawan,
Saya tinggal di California selama hampir 8 tahun. AI di sini sangat membantu untuk kebutuhan sehari2. Saya di sini kemana2 memakai bantuan AI. ",hi indrawan tinggal california lama hampir tahun artificial intelligence sini sangat bantu butuh hari sini pakai bantu artificial intelligence,19,2,Positif
Apa saja ka di sana adanya AI..agar di sini bisa di tiru,ka sana ada artificial intelligence sini tiru,7,0,Netral
"Steve job pernah berkata.. Manusia adalah mahluk lambat dalam berlari, tapi manusa dgn 'sepeda', kecepatan larinya mengalahkan cheetah  ... So Sepeda adalah sebuah leverage utk kaki manusia..
Alkisah, thn 1970an, komputer dianggap sbg leverage utk otak manusia, seperti sepeda utk kaki..",steve job kata manusia mahluk lambat lari manusa sepeda cepat lari kalah cheetah so sepeda leverage kaki manusia alkisah thn an komputer anggap sbg leverage otak manusia sepeda kaki,29,0,Netral
